parameter,value
model_name,vengeanceaiUSCMODEL6
revenue_growth_path,"0.270000,0.160000,0.130000,0.100000,0.070000"
cogs_pct_revenue,0.17767216225678334
rd_pct_revenue,0.09460542104980288
sga_pct_revenue,0.2522044393679343
sga_margin_improvement_bps,25.0
da_pct_revenue,0.007510288220872393
tax_rate,0.18770239037123332
capex_pct_revenue,0.0183247885722265
capex_pct_path,"0.018325,0.016366,0.014407,0.012938,0.010000"
nwc_pct_revenue,0.1554401620598844
interest_expense_level_000s,133647.0
forecast_years,5
wacc,0.0924
perpetual_growth,0.03
