line_item,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
cash,195354.0,133202.0,136778.0,150667.0,134136.0,134135.99999999988,134136.0,134136.0,134136.0,134136.0
accounts_receivable,312107.0,322410.0,387947.0,426642.0,529148.0,672017.96,779540.8335999998,880881.1419679997,968969.2561647998,1036797.1040963359
inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
current_assets,550974.0,484715.0,556448.0,617413.0,705165.0,806153.9599999998,913676.8335999998,1015017.1419679997,1103105.2561648,1170933.1040963358
ppe_net,27913.0,17580.0,10966.0,38465.0,67713.0,78026.35840677,89989.8541586232,103508.6043582173,118379.22957777084,134290.79856269312
other_assets,988889.0,939739.0,1007867.0,1062006.0,1095255.0,1095255.0,1095255.0,1095255.0,1095255.0,1095255.0
total_assets,1567776.0,1442034.0,1575281.0,1717884.0,1868133.0,1979435.31840677,2098921.6877586227,2213780.746326217,2316739.485742571,2400478.902659029
accounts_payable,20749.0,17273.0,19009.0,22473.0,32315.0,41040.049999999996,47606.45799999999,53795.29753999998,59174.82729399998,63317.06520457999
deferred_revenue,105417.0,120045.0,136730.0,156897.0,187372.0,237962.43999999997,276036.43039999995,311921.1663519999,343113.28298719996,367131.2127963039
short_term_debt,250000.0,30000.0,50000.0,15000.0,399541.0,0.0,0.0,0.0,0.0,0.0
current_liabilities,559207.0,331459.0,367688.0,380285.0,849215.0,279002.49,323642.88839999994,365716.4638919999,402288.1102811999,430448.2780008839
long_term_debt,1009018.0,1823669.0,1811658.0,2194021.0,2656150.0,2764774.0,2473857.0,2182940.0,1892023.0,1601106.0
total_debt,1259018.0,1853669.0,1861658.0,2209021.0,3055691.0,2764774.0,2473857.0,2182940.0,1892023.0,1601106.0
other_liabilities,110493.0,88853.0,83925.0,106257.0,108552.0,108552.0,108552.0,108552.0,108552.0,108552.0
total_liabilities,1678718.0,2243981.0,2263271.0,2680563.0,3613917.0,3152328.49,2906051.8884,2657208.463892,2402863.1102812,2140106.2780008838
retained_earnings,2585143.0,2958684.0,3388059.0,3900870.0,4552816.0,5419010.371812495,6459033.826452422,7668564.345524229,9032114.204403508,10522476.719328191
other_equity,-2696085.0,-3760631.0,-4076049.0,-4863549.0,-6298600.0,-6591903.543405726,-7266164.0270938,-8111992.0630900115,-9118237.828942139,-10262104.094670046
total_equity,-110942.0,-801947.0,-687990.0,-962679.0,-1745784.0,-1172893.1715932302,-807130.2006413774,-443427.71756578283,-86123.62453862932,260372.624658145
balance_delta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
