line_item,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
net_income,392084.0,373541.0,429375.0,512811.0,651946.0,868167.6585853711,1041837.9575027986,1211565.15623903,1365866.6406062928,1492643.344610257
da,25592.0,20465.0,14638.0,13827.0,14952.0,18837.1371683913,22435.236680294474,25371.20820851701,27811.46694072688,30002.178706183007
change_in_nwc,0.0,0.0,0.0,0.0,0.0,-11594.53833000001,-25923.26590800006,-47794.93129691598,-46181.89961892177,-60940.85135077896
cash_from_operations,423817.0,509450.0,468915.0,632964.0,778807.0,898599.3340837624,1090196.460091093,1284731.2957444629,1439860.0071659414,1583586.3746672191
capex,7569.0,6029.0,4237.0,25551.0,39407.0,35189.17778,35074.464166399994,36388.22964503599,36456.546260243995,39008.50449846108
cash_from_investing,137850.0,-5671.0,-15954.0,-27993.0,-43719.0,-35189.17778,-35074.464166399994,-36388.22964503599,-36456.546260243995,-39008.50449846108
cash_from_financing,-523571.0,-547165.0,-455001.0,-592923.0,-750329.0,0.0,0.0,0.0,0.0,0.0
net_change_in_cash,38096.0,-43386.0,-2040.0,12048.0,-15241.0,863410.1563037623,1055121.995924693,1248343.066099427,1403403.4609056974,1544577.870168758
debt_issuance,,,,,,0.0,0.0,0.0,0.0,0.0
equity_issuance,,,,,,0.0,0.0,0.0,0.0,0.0
