line_item,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
revenue,1316536.0,1377270.0,1513557.0,1717526.0,1990869.0,2528403.63,2932948.2107999995,3314231.4782039993,3645654.6260243994,3900850.4498461075
cogs,332462.0,302174.0,311053.0,348206.0,353722.0,449226.93999999994,521103.2503999999,588846.6729519998,647731.3402471999,693072.5340645039
gross_profit,984074.0,1075096.0,1202504.0,1369320.0,1637147.0,2079176.69,2411844.9603999997,2725384.8052519998,2997923.2857771995,3207777.9157816037
rd,171231.0,146758.0,159950.0,171940.0,188347.0,239200.69,277472.80039999995,313544.264452,344898.69089719997,369041.59926000395
sga,396281.0,383863.0,400565.0,462834.0,513028.0,606069.5746249999,666378.8539299999,711580.2114633499,737167.5497843799,740008.6476462102
da,25592.0,20465.0,14638.0,13827.0,14952.0,21266.40293193,24669.027401038795,27876.00096317384,30663.601059491222,32810.05313365561
operating_income,505489.0,542414.0,642830.0,733629.0,924850.0,1212640.02244307,1443324.278668961,1672384.3283734762,1885193.4440361282,2065917.6157417342
interest_expense,40092.0,68967.0,95546.0,105638.0,133647.0,133647.0,133647.0,133647.0,133647.0,133647.0
other_income,7745.0,-2138.0,6340.0,14034.0,11392.0,0.0,0.0,0.0,0.0,0.0
ebt,473142.0,471309.0,553624.0,642025.0,802595.0,1078993.02244307,1309677.278668961,1538737.3283734762,1751546.4440361282,1932270.6157417342
tax_expense,81058.0,97768.0,124249.0,129214.0,150649.0,202529.56950644605,245829.55582105584,288824.67468914686,328769.45439181494,362691.81341881835
net_income,392084.0,373541.0,429375.0,512811.0,651946.0,876463.4529366241,1063847.7228479052,1249912.6536843292,1422776.9896443132,1569578.8023229158
