line_item,FY2026,FY2027,FY2028,FY2029,FY2030
EBIT,1052713.0433274375,1157984.347660181,1262202.9389495978,1363179.1740655655,1458601.7162501551
D&A,17093.63982519042,18803.003807709465,20495.27415040332,22134.896082435585,23684.338808206077
EBITDA,1069806.683152628,1176787.3514678907,1282698.213100001,1385314.070148001,1482286.0550583613
NOPAT,855116.2887199017,940627.9175918917,1025284.4301751623,1107307.1845891753,1184818.6875104175
CapEx,45051.43556656494,49556.57912322144,54016.67124431137,58338.004943856286,62421.665289926226
ΔNWC,71163.54596501018,56799.65459650115,56231.65805053606,54482.228688963805,51485.70611107082
FCFF,755994.947013517,853074.6876798786,935531.3750307182,1016621.8470387907,1094595.6549176266
Discount factor,0.9124087591240875,0.8324897437263571,0.7595709340568951,0.6930391734095758,0.6323350122350144
PV of FCFF,689776.4115086833,710175.9281260642,710602.4403716141,704558.7645418796,692151.1568447311
Terminal value (primary),,,,,32610293.21128395
PV of terminal value,,,,,20620630.156744644
