concept,unit,2021,2022,2023,2024,2025
RevenueFromContractWithCustomerExcludingAssessedTax,USD,1316536000,1377270000,1513557000,1717526000,1990869000
CostOfRevenue,USD,332462000,302174000,311053000,348206000,353722000
ResearchAndDevelopmentExpense,USD,171231000,146758000,159950000,171940000,188347000
SellingGeneralAndAdministrativeExpense,USD,396281000,383863000,400565000,462834000,513028000
AmortizationOfIntangibleAssets,USD,3255000,2061000,1100000,917000,0
RestructuringCharges,USD,7956000,0,0,0,10922000
OperatingIncomeLoss,USD,505489000,542414000,642830000,733629000,924850000
InterestExpense,USD,40092000,68967000,95546000,105638000,
OtherNonoperatingIncomeExpense,USD,7745000,-2138000,6340000,14034000,11392000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,USD,473142000,471309000,553624000,642025000,802595000
IncomeTaxExpenseBenefit,USD,81058000,97768000,124249000,129214000,150649000
NetIncomeLoss,USD,392084000,373541000,429375000,512811000,651946000
EarningsPerShareBasic,USD/shares,13.65,14.34,17.18,20.78,26.9
EarningsPerShareDiluted,USD/shares,13.4,14.18,16.93,20.45,26.54
WeightedAverageNumberOfSharesOutstandingBasic,shares,28734000,26042000,24986000,24676000,24239000
WeightedAverageNumberOfDilutedSharesOutstanding,shares,29260000,26347000,25367000,25079000,24561000
CashAndCashEquivalentsAtCarryingValue,USD,195354000,133202000,136778000,150667000,134136000
AccountsReceivableNetCurrent,USD,312107000,322410000,387947000,426642000,529148000
AssetsCurrent,USD,550974000,484715000,556448000,617413000,705165000
PropertyPlantAndEquipmentNet,USD,27913000,17580000,10966000,38465000,67713000
Goodwill,USD,788185000,761067000,773327000,782752000,783340000
DeferredIncomeTaxAssetsNet,USD,20549000,11803000,59136000,86513000,118553000
OtherAssetsNoncurrent,USD,95585000,102514000,115770000,117872000,112524000
Assets,USD,1567776000,1442034000,1575281000,1717884000,1868133000
AccountsPayableCurrent,USD,20749000,17273000,19009000,22473000,32315000
AccruedLiabilitiesCurrent,USD,79535000,66248000,59478000,79812000,114618000
ContractWithCustomerLiabilityCurrent,USD,105400000,120000000,136700000,156900000,187400000
LongTermDebtCurrent,USD,,,,15000000,399541000
LiabilitiesCurrent,USD,559207000,331459000,367688000,380285000,849215000
LongTermDebtNoncurrent,USD,1009018000,1823669000,1811658000,2194021000,2656150000
OperatingLeaseLiabilityNoncurrent,USD,53670000,39192000,23903000,21963000,19187000
OtherLiabilitiesNoncurrent,USD,56823000,49661000,60022000,84294000,89365000
Liabilities,USD,1678718000,2243981000,2263271000,2680563000,3613917000
RetainedEarningsAccumulatedDeficit,USD,2585143000,2958684000,3388059000,3900870000,4552816000
TreasuryStockValue,USD,3857855000,4935769000,5324865000,6138736000,7537908000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,USD,-75854000,-124702000,-102145000,-91629000,-92050000
StockholdersEquity,USD,-110942000,-801947000,-687990000,-962679000,-1745784000
CommonStockSharesOutstanding,shares,27568000,25154000,24770000,24392000,23764000
NetCashProvidedByUsedInOperatingActivities,USD,423817000,509450000,468915000,632964000,778807000
NetCashProvidedByUsedInInvestingActivities,USD,137850000,-5671000,-15954000,-27993000,-43719000
NetCashProvidedByUsedInFinancingActivities,USD,-523571000,-547165000,-455001000,-592923000,-750329000
DepreciationDepletionAndAmortization,USD,25592000,20465000,14638000,13827000,14952000
ShareBasedCompensation,USD,112457000,115355000,123847000,149439000,156667000
DeferredIncomeTaxExpenseBenefit,USD,-5955000,7816000,-47378000,-27330000,-32486000
IncreaseDecreaseInAccountsReceivable,USD,-24496000,31557000,70117000,34144000,100377000
IncreaseDecreaseInAccountsPayable,USD,-2354000,-2802000,2236000,3316000,9849000
IncreaseDecreaseInDeferredRevenue,USD,4486000,23547000,18763000,13966000,29740000
PaymentsToAcquirePropertyPlantAndEquipment,USD,7569000,6029000,4237000,8884000,8922000
PaymentsForRepurchaseOfCommonStock,USD,874179000,1104180000,405526000,821702000,1414502000
ProceedsFromStockOptionsExercised,USD,4400000,3200000,8100000,8300000,14700000
OperatingLeaseRightOfUseAsset,USD,47275000,36688000,25703000,29580000,26213000
OperatingLeaseLiabilityCurrent,USD,22074000,19369000,16336000,11555000,9615000
